formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,B_site,is_semiconductor,B_site_encoded,Stability_Tag
Alloy_Ti_Step_233_75,4.09,4.09,4.09,1.51,1.39,0.645,1.4,0.93,1.7375,3.44,0.55,0.15,1.46,0.966052204,0.460714286,68.720464,3.702772151,1.7025,0.460714286,0,0.690458305,1.634495,0.357273908,Ti,1,7,Stable_Cubic
Alloy_Ti_Step_198_75,4.09,4.09,4.09,1.525,1.44,0.645,1.4,0.95,1.7375,3.44,0.11,0.15,1.46,0.983364967,0.460714286,68.720464,5.285865287,1.7025,0.460714286,0,0.708997496,1.663345,0.369514032,Ti,1,7,Stable_Cubic
Alloy_Ti_Step_198_95,4.018,4.018,4.018,1.53,1.44,0.609,1.4,0.95,1.5795,3.44,0.11,0.094,1.46,0.999946297,0.435,64.9440928,4.863961007,1.8605,0.435,0,0.740481501,1.674173,0.399417032,Ti,1,7,Stable_Cubic
Alloy_Ti_Step_233_95,4.018,4.018,4.018,1.542,1.39,0.609,1.4,0.93,1.5795,3.44,0.55,0.094,1.46,0.982341609,0.435,64.9440928,3.204380655,1.8605,0.435,0,0.721046589,1.645323,0.386970517,Ti,1,7,Stable_Cubic
Alloy_Ge_Step_207_35,3.86,3.86,3.86,1.562,1.34,0.53,1.4,1,1.711,3.44,0.02,0.1055,1.46,1.003871803,0.378571429,57.512456,4.304775496,1.729,0.378571429,0,0.785645467,1.54459,0.442087365,Ge,1,2,Stable_Cubic
Alloy_Ti_Step_204_75,4.526077855,4.526077855,5.1909,1.567,1.34,0.645,1.4,1,1.7375,3.44,0.02,0.15,1.46,0.94873944,0.460714286,129.6386696,3.017868872,1.7025,0.460714286,0.044830751,0.568435718,1.605645,0.345033784,Ti,1,7,Stable_Cubic
Alloy_Ti_Step_204_95,4.105215571,4.105215571,4.23818,1.578,1.34,0.609,1.4,1,1.5795,3.44,0.02,0.094,1.46,0.96473692,0.435,77.12773392,3.422340424,1.8605,0.435,0.00896615,0.6820067,1.616473,0.374524003,Ti,1,7,Stable_Cubic
Alloy_Ti_Step_227_35,4.304,4.304,6.264,1.599,1.64,0.717,1.4,0.82,2.0535,3.44,0.5,0.262,1.46,1.017117963,0.512142857,114.3784064,4.286128576,1.3865,0.512142857,0.152299922,0.539969733,1.757089,0.3570174,Ti,1,7,Stable_Cubic
Alloy_Sn_Step_235_15,4.07205,4.07205,8.66545,1.624,1.39,0.554,1.4,0.93,2.0025,3.44,0.55,1.212,1.46,1.010452558,0.395714286,143.0012776,1.950429213,1.4375,0.395714286,0.369871239,0.350386786,1.528988,0.434619958,Sn,1,6,Stable_Cubic
Alloy_Sn_Step_206_15,3.908,3.908,3.908,1.636,1.34,0.554,1.4,1,2.0025,3.44,0.02,1.212,1.46,0.992344089,0.395714286,59.8407824,4.646352668,1.4375,0.395714286,0,0.762144658,1.500138,0.421817271,Sn,1,6,Stable_Cubic
Alloy_Ge_Step_207_55,3.86,3.86,3.86,1.639,1.34,0.53,1.4,1,1.803,3.44,0.02,0.4515,1.46,1.003871803,0.378571429,57.512456,4.406984861,1.637,0.378571429,0,0.785645467,1.52619,0.442087365,Ge,1,2,Stable_Cubic
